metric,run_value,golden_value,abs_diff,within_tol
AUROC_mean,0.8214849366024076,0.8199087237419345,0.0015762128604731585,True
AUROC_std,0.003722960264133569,0.0037025581683895,2.0402095744069017e-05,True
AUPRC_mean,0.7379182316619757,0.7374151294563637,0.0005031022056120049,True
AUPRC_std,0.0023669306267382127,0.0051180161275803,0.0027510855008420873,True
ECE_mean,0.06379226132717283,0.058937631532257,0.004854629794915834,True
ECE_std,0.02204994919224899,0.0284370236507566,0.00638707445850761,False
Brier_mean,0.16792952714870074,0.1683274107028217,0.0003978835541209591,True
Brier_std,0.0034945234720426903,0.0048720930043213,0.00137756953227861,True
