fold,AUROC,AUPRC,ECE,Brier,n_train,n_test
1,0.8279812924129424,0.7384513256555854,0.08775718101152928,0.17002284859948402,21358,5340
2,0.8219724242300778,0.741649905908752,0.03389690689394667,0.16320839915725888,21358,5340
3,0.8167398565629378,0.7359903337409824,0.08165049612516616,0.17264082948147413,21358,5340
4,0.8194063710628263,0.738667470774709,0.04090354302246778,0.16464941151624196,21359,5339
5,0.8213247387432541,0.7348321222298491,0.07475317958275429,0.16912614698904466,21359,5339
